Drug_name	DrugBank_ID	CHEMBL_ID	Gene_name	UniProt	Source	EntrezID
carprofen	DB00821	CHEMBL1316	C5	P01031	CHEMBL	727
carprofen	DB00821	CHEMBL1316	PTGS1	P23219	BindingDB	5742
carprofen	DB00821	CHEMBL1316	PTGS2	P35354	CHEMBL,TTD,IUPHAR	5743
carteolol	DB00521	CHEMBL839	ADRB1	P08588	CHEMBL,TTD,BindingDB	153
carvedilol	DB01136	CHEMBL723	ADRA1D	P25100	CHEMBL	146
carvedilol	DB01136	CHEMBL723	ADRA2A	P08913	CHEMBL	150
carvedilol	DB01136	CHEMBL723	ADRA2B	P18089	CHEMBL	151
carvedilol	DB01136	CHEMBL723	ADRA2C	P18825	CHEMBL	152
carvedilol	DB01136	CHEMBL723	ADRB1	P08588	CHEMBL,IUPHAR,BindingDB	153
carvedilol	DB01136	CHEMBL723	ADRB2	P07550	CHEMBL,IUPHAR,BindingDB	154
carvedilol	DB01136	CHEMBL723	ADRB3	P13945	CHEMBL,BindingDB	155
carvedilol	DB01136	CHEMBL723	CYP1B1	Q16678	CHEMBL	1545
carvedilol	DB01136	CHEMBL723	DRD1	P21728	CHEMBL	1812
carvedilol	DB01136	CHEMBL723	DRD2	P14416	CHEMBL	1813
carvedilol	DB01136	CHEMBL723	DRD3	P35462	CHEMBL	1814
carvedilol	DB01136	CHEMBL723	HTR2A	P28223	CHEMBL	3356
carvedilol	DB01136	CHEMBL723	HTR2B	P41595	CHEMBL	3357
carvedilol	DB01136	CHEMBL723	HTR2C	P28335	CHEMBL	3358
carvedilol	DB01136	CHEMBL723	HTR6	P50406	CHEMBL	3362
carvedilol	DB01136	CHEMBL723	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
carvedilol	DB01136	CHEMBL723	KCNK10	P57789	CHEMBL	54207
carvedilol	DB01136	CHEMBL723	KCNK2	O95069	CHEMBL	3776
carvedilol	DB01136	CHEMBL723	SLC22A1	O15245	CHEMBL	6580
carvedilol	DB01136	CHEMBL723	SLC22A2	O15244	CHEMBL,BindingDB	6582
carvedilol	DB01136	CHEMBL723	SLC6A2	P23975	CHEMBL	6530
carvedilol	DB01136	CHEMBL723	SLC6A3	Q01959	CHEMBL	6531
carvedilol	DB01136	CHEMBL723	SLC6A4	P31645	CHEMBL	6532
cedazuridine	DB15694	CHEMBL3237547	CDA	P32320	CHEMBL,IUPHAR	978
cefaclor	DB00833	CHEMBL680	CTDSP1	Q9GZU7	BindingDB	58190
cefadroxil	DB01140	CHEMBL1644	SLC15A2	S15A2_HUMAN	TTD,BindingDB	6565
cefadroxil	DB01140	CHEMBL1644	SLC22A6	Q8VC69	BindingDB	9356
cefadroxil	DB01140	CHEMBL1644	SLC22A8	S22A8_HUMAN	TTD,BindingDB	9376
cefamandole	DB01326	CHEMBL1146	SLC22A11	Q9NSA0	BindingDB	55867
cefamandole	DB01326	CHEMBL1146	SLC22A6	Q8VC69	BindingDB	9356
cefamandole	DB01326	CHEMBL1146	SLC22A8	Q8TCC7	BindingDB	9376
cefazolin	DB01327	CHEMBL1435	SLC22A11	Q9NSA0	BindingDB	55867
cefazolin	DB01327	CHEMBL1435	SLC22A6	Q8VC69	BindingDB	9356
cefazolin	DB01327	CHEMBL1435	SLC22A8	Q8TCC7	BindingDB	9376
cefixime	DB00671	CHEMBL1541	APAF1	O14727	BindingDB	317
cefixime	DB00671	CHEMBL1541	PLCG1	P19174	CHEMBL	5335
cefixime	DB00671	CHEMBL1541	PSIP1	O75475	BindingDB	11168
cefmetazole	DB00274	CHEMBL1201195	IDE	P14735	CHEMBL,TTD,BindingDB	3416
cefsulodin	DB13499	CHEMBL3351077	L3MBTL1	Q9Y468	CHEMBL	26013
cefsulodin	DB13499	CHEMBL3351077	PTPN11	Q06124	CHEMBL	5781
ceftriaxone	DB01212	CHEMBL161	DAO	P14920	CHEMBL,TTD	1610
ceftriaxone	DB01212	CHEMBL161	SLC22A11	Q9NSA0	BindingDB	55867
ceftriaxone	DB01212	CHEMBL161	SLC22A6	Q8VC69	BindingDB	9356
ceftriaxone	DB01212	CHEMBL161	SLC22A8	Q8TCC7	BindingDB	9376
ceftriaxone	DB01212	CHEMBL161	SNCA	P37840	CHEMBL	6622
celecoxib	DB00482	CHEMBL118	ADRA2B	P18089	CHEMBL	151
celecoxib	DB00482	CHEMBL118	ALOX5	P09917	CHEMBL,TTD,BindingDB	240
celecoxib	DB00482	CHEMBL118	CA1	CAH1_HUMAN	TTD,BindingDB	759
celecoxib	DB00482	CHEMBL118	CA12	O43570	CHEMBL,TTD,IUPHAR,BindingDB	771
celecoxib	DB00482	CHEMBL118	CA13	Q8N1Q1	CHEMBL	377677
celecoxib	DB00482	CHEMBL118	CA14	Q9ULX7	CHEMBL,TTD	23632
celecoxib	DB00482	CHEMBL118	CA2	P00918	CHEMBL,TTD,BindingDB	760
celecoxib	DB00482	CHEMBL118	CA3	P07451	CHEMBL	761
celecoxib	DB00482	CHEMBL118	CA4	P22748	CHEMBL,TTD,BindingDB	762
celecoxib	DB00482	CHEMBL118	CA5A	P35218	CHEMBL,BindingDB	763
celecoxib	DB00482	CHEMBL118	CA5B	Q9Y2D0	CHEMBL	11238
celecoxib	DB00482	CHEMBL118	CA6	P23280	CHEMBL,TTD	765
celecoxib	DB00482	CHEMBL118	CA7	P43166	CHEMBL,TTD,BindingDB	766
celecoxib	DB00482	CHEMBL118	CA9	Q16790	CHEMBL,TTD,BindingDB	768
celecoxib	DB00482	CHEMBL118	CYP2C9	CP2C9_HUMAN	TTD	1559
celecoxib	DB00482	CHEMBL118	CYP2D6	P10635	CHEMBL	1565
celecoxib	DB00482	CHEMBL118	EPHX2	HYES_HUMAN	TTD	2053
celecoxib	DB00482	CHEMBL118	HDAC1	Q13547	CHEMBL,TTD,BindingDB	3065
celecoxib	DB00482	CHEMBL118	HDAC5	Q9Z2V6	BindingDB	10014
celecoxib	DB00482	CHEMBL118	HDAC6	Q9UBN7	CHEMBL,TTD,BindingDB	10013
celecoxib	DB00482	CHEMBL118	MAPK14	Q16539	CHEMBL,TTD,BindingDB	1432
celecoxib	DB00482	CHEMBL118	MT-CO2	P00403	CHEMBL,BindingDB	4513
celecoxib	DB00482	CHEMBL118	PTGES	O14684	CHEMBL,TTD,BindingDB	9536
celecoxib	DB00482	CHEMBL118	PTGS1	P23219	CHEMBL,TTD,BindingDB	5742
celecoxib	DB00482	CHEMBL118	PTGS2	P35354	CHEMBL,TTD,IUPHAR,BindingDB	5743
celecoxib	DB00482	CHEMBL118	SLC6A2	P23975	CHEMBL	6530
celecoxib	DB00482	CHEMBL118	SLC6A3	Q01959	CHEMBL	6531
celecoxib	DB00482	CHEMBL118	SLC6A4	P31645	CHEMBL	6532
cemiplimab	DB14707	CHEMBL4297723	PDCD1	Q15116	IUPHAR	5133
ceritinib	DB09063	CHEMBL2403108	ABCB1	P08183	CHEMBL,TTD	5243
ceritinib	DB09063	CHEMBL2403108	ABL1	P00519	CHEMBL,TTD	25
ceritinib	DB09063	CHEMBL2403108	ALK	Q9UM73	CHEMBL,TTD,IUPHAR	238
ceritinib	DB09063	CHEMBL2403108	BTK	Q06187	CHEMBL,TTD	695
ceritinib	DB09063	CHEMBL2403108	CDK2	P24941	CHEMBL,TTD	1017
ceritinib	DB09063	CHEMBL2403108	CDK4	P11802	CHEMBL,TTD	1019
ceritinib	DB09063	CHEMBL2403108	EGFR	P00533	CHEMBL,TTD	1956
ceritinib	DB09063	CHEMBL2403108	ETV6	P41212	CHEMBL	2120
ceritinib	DB09063	CHEMBL2403108	FGFR2	P21802	CHEMBL,TTD	2263
ceritinib	DB09063	CHEMBL2403108	FGFR3	P22607	CHEMBL,TTD	2261
ceritinib	DB09063	CHEMBL2403108	FGFR4	P22455	CHEMBL,TTD	2264
ceritinib	DB09063	CHEMBL2403108	FGR	P09769	CHEMBL,TTD	2268
ceritinib	DB09063	CHEMBL2403108	FLT3	P36888	CHEMBL,TTD,IUPHAR	2322
ceritinib	DB09063	CHEMBL2403108	GSK3B	GSK3B_HUMAN	TTD	2932
ceritinib	DB09063	CHEMBL2403108	IGF1R	P08069	CHEMBL,TTD,IUPHAR	3480
ceritinib	DB09063	CHEMBL2403108	INSR	P06213	CHEMBL,TTD,IUPHAR	3643
ceritinib	DB09063	CHEMBL2403108	JAK1	P23458	CHEMBL,TTD	3716
ceritinib	DB09063	CHEMBL2403108	JAK2	O60674	CHEMBL,TTD	3717
ceritinib	DB09063	CHEMBL2403108	JAK3	P52333	CHEMBL,TTD	3718
ceritinib	DB09063	CHEMBL2403108	KCNH2	Q12809	CHEMBL,TTD	3757
ceritinib	DB09063	CHEMBL2403108	KDR	P35968	CHEMBL,TTD	3791
ceritinib	DB09063	CHEMBL2403108	KIT	P10721	CHEMBL,TTD	3815
ceritinib	DB09063	CHEMBL2403108	LCK	P06239	CHEMBL,TTD	3932
ceritinib	DB09063	CHEMBL2403108	LYN	P07948	CHEMBL,TTD	4067
ceritinib	DB09063	CHEMBL2403108	MET	P08581	CHEMBL,TTD	4233
ceritinib	DB09063	CHEMBL2403108	MKNK2	Q9HBH9	CHEMBL,TTD	2872
ceritinib	DB09063	CHEMBL2403108	NTRK1	P04629	CHEMBL,TTD	4914
ceritinib	DB09063	CHEMBL2403108	NTRK2	Q16620	CHEMBL,TTD	4915
ceritinib	DB09063	CHEMBL2403108	PAK2	PAK2_HUMAN	TTD	5062
ceritinib	DB09063	CHEMBL2403108	PDGFRA	P16234	CHEMBL,TTD	5156
ceritinib	DB09063	CHEMBL2403108	RET	P07949	CHEMBL,TTD	5979
ceritinib	DB09063	CHEMBL2403108	ROCK2	O75116	CHEMBL,TTD	9475
ceritinib	DB09063	CHEMBL2403108	ROS1	P08922	CHEMBL,TTD	6098
ceritinib	DB09063	CHEMBL2403108	SRC	P12931	CHEMBL,TTD	6714
ceritinib	DB09063	CHEMBL2403108	SYK	P43405	CHEMBL,TTD	6850
ceritinib	DB09063	CHEMBL2403108	TSSK1B	Q9BXA7	CHEMBL,IUPHAR	83942
ceritinib	DB09063	CHEMBL2403108	ZAP70	P43403	CHEMBL,TTD	7535
cerivastatin	DB00439	CHEMBL1477	HMGCR	P04035	CHEMBL,TTD,IUPHAR	3156
cetirizine	DB00341	CHEMBL1000	HRH1	P35367	CHEMBL,TTD,IUPHAR,BindingDB	3269
cetrorelix	DB00050	CHEMBL1200490	GNRHR	P30968	CHEMBL,TTD,IUPHAR	2798
cetuximab	DB00002	CHEMBL1201577	EGFR	P00533	IUPHAR	1956
cevimeline	DB00185	CHEMBL168815	CHRM1	P11229	IUPHAR	1128
cevimeline	DB00185	CHEMBL168815	CHRM2	P08172	IUPHAR	1129
cevimeline	DB00185	CHEMBL168815	CHRM3	P20309	IUPHAR	1131
cevimeline	DB00185	CHEMBL168815	CHRM4	P08173	IUPHAR	1132
chlordiazepoxide	DB00475	CHEMBL451	GABRA1	P14867	CHEMBL	2554
chlordiazepoxide	DB00475	CHEMBL451	GABRG2	P18507	CHEMBL	2566
chlordiazepoxide	DB00475	CHEMBL451	HRH1	P35367	CHEMBL	3269
chlorhexidine	DB00878	CHEMBL790	MMP2	P08253	CHEMBL,TTD	4313
chlorhexidine	DB00878	CHEMBL790	MMP9	P14780	CHEMBL,TTD	4318
chlorhexidine	DB00878	CHEMBL790	SLC22A1	O15245	CHEMBL	6580
chlorhexidine	DB00878	CHEMBL790	SLC22A2	O15244	CHEMBL	6582
chlorhexidine	DB00878	CHEMBL790	SLC22A3	O75751	CHEMBL,TTD	6581
chlorhexidine	DB00878	CHEMBL790	SLC47A1	Q96FL8	CHEMBL,TTD	55244
chlorhexidine	DB00878	CHEMBL790	SLC47A2	Q86VL8	CHEMBL,TTD	146802
chlorhexidine	DB00878	CHEMBL790	SYNJ2	O15056	CHEMBL	8871
chloroquine	DB00608	CHEMBL76	ACE2	Q9BYF1	BindingDB	59272
chloroquine	DB00608	CHEMBL76	APP	P05067	CHEMBL,TTD,BindingDB	351
chloroquine	DB00608	CHEMBL76	BACE1	P56817	CHEMBL,TTD,BindingDB	23621
chloroquine	DB00608	CHEMBL76	CHRM3	P20309	BindingDB	1131
chloroquine	DB00608	CHEMBL76	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
chloroquine	DB00608	CHEMBL76	NQO2	P16083	CHEMBL,TTD,BindingDB	4835
chloroquine	DB00608	CHEMBL76	PRNP	P04156	CHEMBL,TTD,BindingDB	5621
chloroquine	DB00608	CHEMBL76	SIGMAR1	O55242	BindingDB	10280
chloroxine	DB01243	CHEMBL1200596	ALOX12	P18054	CHEMBL,TTD	239
chloroxine	DB01243	CHEMBL1200596	ALOX15	P16050	CHEMBL,TTD,BindingDB	246
chloroxine	DB01243	CHEMBL1200596	ALOX5	P09917	CHEMBL,TTD,BindingDB	240
chloroxine	DB01243	CHEMBL1200596	OPRK1	P41145	BindingDB	4986
chloroxylenol	DB11121	CHEMBL398440	HTR2B	P41595	CHEMBL	3357
chloroxylenol	DB11121	CHEMBL398440	MAOA	P21397	CHEMBL	4128
chlorpheniramine	DB01114	CHEMBL505	HRH1	P35367	CHEMBL,TTD,IUPHAR,BindingDB	3269
chlorpheniramine	DB01114	CHEMBL505	HRH4	Q91ZY3	BindingDB	59340
chlorpheniramine	DB01114	CHEMBL505	HTR2B	P41595	BindingDB	3357
chlorpheniramine	DB01114	CHEMBL505	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
chlorpheniramine	DB01114	CHEMBL505	SCN1A	P35498	CHEMBL	6323
chlorpromazine	DB00477	CHEMBL71	ABCB1	P08183	CHEMBL,TTD	5243
chlorpromazine	DB00477	CHEMBL71	ADRA1A	P35348	BindingDB	148
chlorpromazine	DB00477	CHEMBL71	ADRA1D	P25100	CHEMBL	146
chlorpromazine	DB00477	CHEMBL71	ADRA2A	P08913	CHEMBL,IUPHAR	150
chlorpromazine	DB00477	CHEMBL71	ADRA2B	P18089	CHEMBL,IUPHAR	151
chlorpromazine	DB00477	CHEMBL71	ADRA2C	P18825	CHEMBL,IUPHAR	152
chlorpromazine	DB00477	CHEMBL71	AOX1	AOXA_HUMAN	TTD,BindingDB	316
chlorpromazine	DB00477	CHEMBL71	CACNA1C	P22002	BindingDB	775
chlorpromazine	DB00477	CHEMBL71	CALM1	P0DP23	CHEMBL	801
chlorpromazine	DB00477	CHEMBL71	CHRM1	P11229	CHEMBL,TTD	1128
chlorpromazine	DB00477	CHEMBL71	CHRM2	P08172	CHEMBL	1129
chlorpromazine	DB00477	CHEMBL71	CHRM3	P20309	CHEMBL,BindingDB	1131
chlorpromazine	DB00477	CHEMBL71	CHRM4	P08173	CHEMBL,TTD	1132
chlorpromazine	DB00477	CHEMBL71	CHRM5	P08912	CHEMBL,BindingDB	1133
chlorpromazine	DB00477	CHEMBL71	CYP1A1	P04798	BindingDB	1543
chlorpromazine	DB00477	CHEMBL71	CYP2D6	CP2D6_HUMAN	TTD	1565
chlorpromazine	DB00477	CHEMBL71	DRD1	P21728	CHEMBL,TTD,IUPHAR	1812
chlorpromazine	DB00477	CHEMBL71	DRD2	P14416	CHEMBL,TTD,IUPHAR	1813
chlorpromazine	DB00477	CHEMBL71	DRD3	P35462	CHEMBL,TTD,IUPHAR	1814
chlorpromazine	DB00477	CHEMBL71	DRD4	P21917	CHEMBL,TTD,IUPHAR	1815
chlorpromazine	DB00477	CHEMBL71	DRD5	P21918	CHEMBL,TTD,IUPHAR	1816
chlorpromazine	DB00477	CHEMBL71	FYN	P06241	CHEMBL	2534
chlorpromazine	DB00477	CHEMBL71	GRIN1	Q05586	CHEMBL	2902
chlorpromazine	DB00477	CHEMBL71	HRH1	P35367	CHEMBL,TTD,IUPHAR,BindingDB	3269
chlorpromazine	DB00477	CHEMBL71	HRH2	P25021	CHEMBL	3274
chlorpromazine	DB00477	CHEMBL71	HRH3	HRH3_HUMAN	TTD	11255
chlorpromazine	DB00477	CHEMBL71	HRH4	Q91ZY3	BindingDB	59340
chlorpromazine	DB00477	CHEMBL71	HTR1A	P08908	CHEMBL,TTD,IUPHAR	3350
chlorpromazine	DB00477	CHEMBL71	HTR2A	P28223	CHEMBL,TTD,IUPHAR	3356
chlorpromazine	DB00477	CHEMBL71	HTR2B	P41595	CHEMBL,TTD,BindingDB	3357
chlorpromazine	DB00477	CHEMBL71	HTR2C	P28335	CHEMBL,TTD,IUPHAR,BindingDB	3358
chlorpromazine	DB00477	CHEMBL71	HTR6	P50406	CHEMBL,TTD,IUPHAR,BindingDB	3362
chlorpromazine	DB00477	CHEMBL71	HTR7	P34969	CHEMBL,TTD,IUPHAR,BindingDB	3363
chlorpromazine	DB00477	CHEMBL71	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
chlorpromazine	DB00477	CHEMBL71	KCNK2	O95069	CHEMBL	3776
chlorpromazine	DB00477	CHEMBL71	MC5R	P33032	CHEMBL	4161
chlorpromazine	DB00477	CHEMBL71	OPRD1	P41143	CHEMBL	4985
chlorpromazine	DB00477	CHEMBL71	OPRK1	P41145	CHEMBL	4986
chlorpromazine	DB00477	CHEMBL71	OPRM1	P35372	CHEMBL	4988
chlorpromazine	DB00477	CHEMBL71	PRNP	P04156	CHEMBL,TTD,BindingDB	5621
chlorpromazine	DB00477	CHEMBL71	SCN1A	P35498	CHEMBL	6323
chlorpromazine	DB00477	CHEMBL71	SIGMAR1	Q99720	CHEMBL	10280
chlorpromazine	DB00477	CHEMBL71	SLC6A2	P23975	CHEMBL	6530
chlorpromazine	DB00477	CHEMBL71	SLC6A3	Q01959	CHEMBL	6531
chlorpromazine	DB00477	CHEMBL71	SLC6A4	P31645	CHEMBL,TTD,BindingDB	6532
chlorpromazine	DB00477	CHEMBL71	TACR2	P21452	CHEMBL	6865
chlorprothixene	DB01239	CHEMBL908	DRD1	P21728	CHEMBL,TTD	1812
chlorprothixene	DB01239	CHEMBL908	DRD2	P14416	CHEMBL,TTD,IUPHAR	1813
chlorprothixene	DB01239	CHEMBL908	DRD3	P35462	CHEMBL,TTD,IUPHAR	1814
chlorprothixene	DB01239	CHEMBL908	DRD5	P21918	CHEMBL,TTD	1816
chlorprothixene	DB01239	CHEMBL908	HRH1	P35367	CHEMBL,TTD,IUPHAR	3269
chlorprothixene	DB01239	CHEMBL908	HRH3	HRH3_HUMAN	TTD	11255
chlorprothixene	DB01239	CHEMBL908	HTR6	P50406	CHEMBL,TTD	3362
chlortetracycline	DB09093	CHEMBL404520	P2RY12	P2Y12_HUMAN	TTD	64805
chlorthalidone	DB00310	CHEMBL1055	CA1	P00915	CHEMBL,TTD,IUPHAR	759
chlorthalidone	DB00310	CHEMBL1055	CA12	O43570	CHEMBL,TTD,IUPHAR,BindingDB	771
chlorthalidone	DB00310	CHEMBL1055	CA14	Q9ULX7	CHEMBL,TTD,IUPHAR	23632
chlorthalidone	DB00310	CHEMBL1055	CA2	P00918	CHEMBL,TTD,BindingDB	760
chlorthalidone	DB00310	CHEMBL1055	CA4	P22748	CHEMBL,TTD,IUPHAR,BindingDB	762
chlorthalidone	DB00310	CHEMBL1055	CA5A	P35218	CHEMBL,BindingDB	763
chlorthalidone	DB00310	CHEMBL1055	CA5B	Q9Y2D0	CHEMBL	11238
chlorthalidone	DB00310	CHEMBL1055	CA6	P23280	CHEMBL,TTD	765
chlorthalidone	DB00310	CHEMBL1055	CA7	P43166	CHEMBL,TTD,IUPHAR,BindingDB	766
chlorthalidone	DB00310	CHEMBL1055	CA9	Q16790	CHEMBL,TTD,BindingDB	768
chlorthalidone	DB00310	CHEMBL1055	CAH1	Q9V396	BindingDB	759
chlorzoxazone	DB00356	CHEMBL1371	NOS3	P29474	CHEMBL,TTD	4846
cholecalciferol	DB00169	CHEMBL1042	GLRA1	P23415	CHEMBL,TTD	2741
cholecalciferol	DB00169	CHEMBL1042	VDR	P11473	CHEMBL,TTD,BindingDB	7421
cholesterol	DB04540	CHEMBL112570	CYP46A1	Q9Y6A2	CHEMBL	10858
cholesterol	DB04540	CHEMBL112570	RORC	P51449	CHEMBL	6097
cholic acid	DB02659	CHEMBL205596	GPBAR1	Q8TDU6	IUPHAR,BindingDB	151306
ciclesonide	DB01410	CHEMBL2040682	NR3C1	P04150	IUPHAR	2908
ciclopirox	DB01188	CHEMBL1413	DOHH	Q9BU89	CHEMBL	83475
ciclopirox	DB01188	CHEMBL1413	HIF1A	Q61221	BindingDB	3091
ciclopirox	DB01188	CHEMBL1413	PARP1	P09874	IUPHAR	142
cilostazol	DB01166	CHEMBL799	CYP2C9	P11712	CHEMBL	1559
cilostazol	DB01166	CHEMBL799	PDE3A	Q14432	CHEMBL,IUPHAR	5139
cilostazol	DB01166	CHEMBL799	PDE3B	Q13370	IUPHAR	5140
cimetidine	DB00501	CHEMBL30	HRH2	P25021	CHEMBL,TTD,IUPHAR	3274
cimetidine	DB00501	CHEMBL30	SLC47A1	Q96FL8	CHEMBL,TTD,IUPHAR	55244
cimetidine	DB00501	CHEMBL30	SLC47A2	Q86VL8	IUPHAR	146802
cinacalcet	DB01012	CHEMBL1201284	CASR	P41180	CHEMBL,TTD,IUPHAR	846
cinacalcet	DB01012	CHEMBL1201284	CYP2D6	P10635	CHEMBL	1565
cinacalcet	DB01012	CHEMBL1201284	GLRA1	P23415	CHEMBL,TTD	2741
cinnarizine	DB00568	CHEMBL43064	ADRA1D	P25100	CHEMBL	146
cinnarizine	DB00568	CHEMBL43064	ADRA2A	P08913	CHEMBL	150
cinnarizine	DB00568	CHEMBL43064	ADRA2B	P18089	CHEMBL	151
cinnarizine	DB00568	CHEMBL43064	ADRA2C	P18825	CHEMBL	152
cinnarizine	DB00568	CHEMBL43064	CHRM1	P11229	CHEMBL	1128
cinnarizine	DB00568	CHEMBL43064	CHRM3	P20309	CHEMBL	1131
cinnarizine	DB00568	CHEMBL43064	CHRM4	P08173	CHEMBL	1132
cinnarizine	DB00568	CHEMBL43064	CHRM5	P08912	CHEMBL	1133
cinnarizine	DB00568	CHEMBL43064	DRD2	P14416	CHEMBL	1813
cinnarizine	DB00568	CHEMBL43064	DRD3	P35462	CHEMBL	1814
cinnarizine	DB00568	CHEMBL43064	HRH1	P35367	CHEMBL	3269
cinnarizine	DB00568	CHEMBL43064	HTR2A	P28223	CHEMBL	3356
cinnarizine	DB00568	CHEMBL43064	HTR2B	P41595	CHEMBL	3357
cinnarizine	DB00568	CHEMBL43064	OPRM1	P35372	CHEMBL	4988
cinnarizine	DB00568	CHEMBL43064	SCN1A	P35498	CHEMBL	6323
cinnarizine	DB00568	CHEMBL43064	SIGMAR1	Q99720	CHEMBL	10280
cinnarizine	DB00568	CHEMBL43064	SLC6A2	P23975	CHEMBL	6530
cinnarizine	DB00568	CHEMBL43064	SLC6A3	Q01959	CHEMBL	6531
cinnarizine	DB00568	CHEMBL43064	SLC6A4	P31645	CHEMBL	6532
ciprofibrate	DB09064	CHEMBL557555	PPARA	Q07869	CHEMBL,TTD,IUPHAR	5465
ciprofloxacin	DB00537	CHEMBL8	TOP2A	P11388	CHEMBL	7153
ciprofloxacin	DB00537	CHEMBL8	TOP2B	Q02880	BindingDB	7155
cisapride	DB00604	CHEMBL1729	ADRA1A	P35348	CHEMBL	148
cisapride	DB00604	CHEMBL1729	ADRA1D	P25100	CHEMBL	146
cisapride	DB00604	CHEMBL1729	ADRA2A	P08913	CHEMBL	150
cisapride	DB00604	CHEMBL1729	ADRA2B	P18089	CHEMBL	151
cisapride	DB00604	CHEMBL1729	ADRA2C	P18825	CHEMBL	152
cisapride	DB00604	CHEMBL1729	CYP2D6	P10635	CHEMBL	1565
cisapride	DB00604	CHEMBL1729	CYP3A4	P08684	CHEMBL	1576
cisapride	DB00604	CHEMBL1729	DRD1	P21728	CHEMBL	1812
cisapride	DB00604	CHEMBL1729	DRD2	P14416	CHEMBL	1813
cisapride	DB00604	CHEMBL1729	DRD3	P35462	CHEMBL	1814
cisapride	DB00604	CHEMBL1729	HMGCR	P04035	CHEMBL	3156
cisapride	DB00604	CHEMBL1729	HTR2A	P28223	CHEMBL	3356
cisapride	DB00604	CHEMBL1729	HTR2B	P41595	CHEMBL	3357
cisapride	DB00604	CHEMBL1729	HTR2C	P28335	CHEMBL	3358
cisapride	DB00604	CHEMBL1729	HTR3A	P46098	CHEMBL	3359
cisapride	DB00604	CHEMBL1729	HTR4	Q13639	CHEMBL,IUPHAR	3360
cisapride	DB00604	CHEMBL1729	KCNH2	Q12809	CHEMBL,TTD,IUPHAR	3757
cisapride	DB00604	CHEMBL1729	SIGMAR1	Q99720	CHEMBL	10280
cisapride	DB00604	CHEMBL1729	SLC6A4	P31645	CHEMBL	6532
cisplatin	DB00515	CHEMBL11359	ADORA3	P0DMS8	CHEMBL	140
cisplatin	DB00515	CHEMBL11359	CCR2	P41597	CHEMBL	729230
cisplatin	DB00515	CHEMBL11359	CXCR2	P25025	CHEMBL	3579
cisplatin	DB00515	CHEMBL11359	EGFR	P00533	CHEMBL	1956
cisplatin	DB00515	CHEMBL11359	FYN	P06241	CHEMBL	2534
cisplatin	DB00515	CHEMBL11359	MAPK3	P27361	CHEMBL	5595
cisplatin	DB00515	CHEMBL11359	MC5R	P33032	CHEMBL	4161
cisplatin	DB00515	CHEMBL11359	TBXAS1	P24557	CHEMBL	6916
citalopram	DB00215	CHEMBL549	ADRA1A	P35348	BindingDB	148
citalopram	DB00215	CHEMBL549	ADRA1D	P25100	CHEMBL	146
citalopram	DB00215	CHEMBL549	HRH1	P35367	CHEMBL	3269
citalopram	DB00215	CHEMBL549	HTR2B	P41595	CHEMBL	3357
citalopram	DB00215	CHEMBL549	HTR2C	P28335	CHEMBL,BindingDB	3358
citalopram	DB00215	CHEMBL549	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
citalopram	DB00215	CHEMBL549	SIGMAR1	Q99720	CHEMBL	10280
citalopram	DB00215	CHEMBL549	SLC6A2	P23975	CHEMBL,TTD	6530
citalopram	DB00215	CHEMBL549	SLC6A4	P31645	CHEMBL,TTD,IUPHAR,BindingDB	6532
cladribine	DB00242	CHEMBL1619	NR5A1	Q13285	BindingDB	2516
cladribine	DB00242	CHEMBL1619	PDE2A	PDE2A_HUMAN	TTD	5138
cladribine	DB00242	CHEMBL1619	RORA	P35398	BindingDB	6095
clarithromycin	DB01211	CHEMBL1741	CYP3A4	CP3A4_HUMAN	TTD	1576
clarithromycin	DB01211	CHEMBL1741	SLCO1B1	SO1B1_HUMAN	TTD	10599
clarithromycin	DB01211	CHEMBL1741	SLCO1B3	SO1B3_HUMAN	TTD	28234
clascoterone	DB12499	CHEMBL3590187	AR	P10275	CHEMBL,TTD,IUPHAR	367
clavulanic acid	DB00766	CHEMBL777	ELANE	P08246	BindingDB	1991
clebopride	DB13511	CHEMBL325109	ACHE	P22303	CHEMBL	43
clebopride	DB13511	CHEMBL325109	DRD2	P14416	CHEMBL	1813
clebopride	DB13511	CHEMBL325109	DRD3	P35462	CHEMBL	1814
clebopride	DB13511	CHEMBL325109	DRD4	P21917	CHEMBL	1815
clemastine	DB00283	CHEMBL1626	ADRA1D	P25100	CHEMBL	146
clemastine	DB00283	CHEMBL1626	ADRA2A	P08913	CHEMBL	150
clemastine	DB00283	CHEMBL1626	ADRA2B	P18089	CHEMBL	151
clemastine	DB00283	CHEMBL1626	ADRA2C	P18825	CHEMBL	152
clemastine	DB00283	CHEMBL1626	CHRM3	P20309	CHEMBL,BindingDB	1131
clemastine	DB00283	CHEMBL1626	CHRM4	P08173	CHEMBL	1132
clemastine	DB00283	CHEMBL1626	CHRM5	P08912	CHEMBL,BindingDB	1133
clemastine	DB00283	CHEMBL1626	CYP2C19	P33261	CHEMBL	1557
clemastine	DB00283	CHEMBL1626	CYP2D6	P10635	CHEMBL	1565
